,x1,x2,"f(x1, x2)"
0,-6.365701175529433,-2.1819873708083537,821.5242690443783
1,-6.6365477094380605,-2.1819873708083537,1031.223473612479
2,1.8055006012205959,-6.365701175529433,1447.0185332054948
3,1.8055006012205959,-1.3865039609095857,94.00281215333827
4,-4.639603803779248,-3.7396038037792483,51.55331328138751
5,-4.239603803779248,-3.7396038037792483,17.998079096894024
6,-4.139603803779249,-4.639603803779248,110.1157942501017
7,-4.139603803779249,-4.472937137112582,81.40051191410024
8,-3.8460938057672327,-3.512760472433899,2.308439928924853
9,-3.3460938057672327,-3.512760472433899,14.972232815447992
10,-3.779427139100566,-3.8460938057672327,16.420123980939707
11,-3.779427139100566,-3.6127604724338993,5.272798931356979
12,-4.362310848849259,-3.6289775155159263,22.632703177581913
13,-3.8483520001511162,-3.6289775155159263,5.420326531208251
14,-3.748352000151116,-4.362310848849259,70.30343645401456
15,-3.748352000151116,-3.195644182182593,0.3086921203973391
16,1.62532782376206,1.5586611570953934,54.909700385132844
17,1.2253278237620602,1.5586611570953934,74.23286114411478
18,1.9586611570953933,1.62532782376206,36.431285449031805
19,1.9586611570953933,1.12532782376206,50.7117368908177
20,-4.888679370521042,-3.0971355879023017,101.35378517757671
21,-3.822012703854375,-3.0971355879023017,1.7730779842425037
22,-4.163802254568968,-4.888679370521042,164.28835342635503
23,-4.163802254568968,-4.888679370521042,164.28835342635503
24,-5.188182030385203,-3.288182030385203,161.3864115853115
25,-4.005152981235524,-3.288182030385203,3.110502319241135
26,-4.238486314568857,-5.188182030385203,248.97934218973103
27,-4.238486314568857,-5.188182030385203,248.97934218973103
28,-3.6363485153625126,-3.4696818486958456,3.5207071392203275
29,-3.6363485153625126,-3.4696818486958456,3.5207071392203275
30,-3.4449104306369382,-3.6363485153625126,15.384983528934711
31,-3.4449104306369382,-3.7782437639702717,23.143516419884143
32,-3.8648111311988704,-3.031477797865537,3.6250142640933802
33,-3.8648111311988704,-3.031477797865537,3.6250142640933802
34,-3.821430605202011,-3.8648111311988704,17.00434924197438
35,-3.821430605202011,-4.1547639385353445,41.78582792940835
36,-3.055286609680594,-2.7219532763472607,26.24999806566911
37,-3.055286609680594,-2.7219532763472607,26.24999806566911
38,-2.727209405765617,-3.055286609680594,43.94683823439178
39,-2.727209405765617,1.2389672512390886,72.50965118786827
40,-4.192562415779701,1.1929495297717345,155.82296057557622
41,1.0262828631050678,1.1929495297717345,97.33676481762599
42,1.4596161964384011,-4.192562415779701,315.51209453006186
43,1.4596161964384011,-2.7092156452101834,137.30520856573872
44,1.0027983273513785,-2.3716038012576113,153.05684219661717
45,-3.4208663285014325,-2.3716038012576113,25.791572842459267
46,-3.087532995168099,1.0027983273513785,82.69703865009075
47,-3.087532995168099,0.5027983273513783,97.6518068307994
